participant_id,file,true_label,condition,eps_l,model_pred,response,rt_ms
1,images/gauss_eps2.5_148.png,automobile,gauss,2.5,automobile,automobile,19570
1,images/gauss_eps16_147.png,dog,gauss,16,dog,bird,12378
1,images/nke_eps5_151.png,automobile,nke,5,automobile,frog,19187
1,images/nke_eps5_128.png,deer,nke,5,deer,frog,1615
1,images/nke_eps0_31.png,frog,clean,0,frog,ship,11394
1,images/gauss_eps2.5_158.png,cat,gauss,2.5,cat,cat,6563
1,images/nke_eps0_7.png,automobile,clean,0,automobile,automobile,4422
1,images/nke_eps5_130.png,airplane,nke,5,airplane,airplane,5006
1,images/gauss_eps1_32.png,bird,gauss,1,bird,ship,6922
1,images/nke_eps12_109.png,cat,nke,12,cat,cannot_tell,6128
1,images/gauss_eps2.5_177.png,cat,gauss,2.5,cat,cat,6232
1,images/gauss_eps8_47.png,automobile,gauss,8,automobile,cannot_tell,1400
1,images/gauss_eps1_62.png,automobile,gauss,1,automobile,automobile,4684
1,images/nke_eps5_155.png,cat,nke,5,cat,cat,3342
1,images/nke_eps1_57.png,truck,nke,1,truck,truck,11565
1,images/nke_eps12_44.png,automobile,nke,12,automobile,cannot_tell,3088
1,images/gauss_eps16_74.png,airplane,gauss,16,airplane,cannot_tell,1733
1,images/nke_eps5_193.png,truck,nke,5,truck,truck,2719
1,images/gauss_eps12_167.png,cat,gauss,12,cat,ship,9839
1,images/nke_eps0_157.png,automobile,clean,0,automobile,ship,5040
1,images/nke_eps0_59.png,ship,clean,0,ship,automobile,1826
1,images/nke_eps16_56.png,ship,nke,16,ship,cannot_tell,2567
1,images/nke_eps8_103.png,deer,nke,8,deer,cannot_tell,4641
1,images/nke_eps1_195.png,cat,nke,1,cat,cannot_tell,6740
1,images/gauss_eps8_8.png,automobile,gauss,8,automobile,automobile,3876
1,images/nke_eps12_165.png,airplane,nke,12,airplane,cannot_tell,5298
1,images/nke_eps1_187.png,frog,nke,1,frog,frog,3214
1,images/gauss_eps16_143.png,horse,gauss,16,horse,cannot_tell,2167
1,images/nke_eps0_197.png,deer,clean,0,deer,deer,2420
1,images/gauss_eps5_92.png,dog,gauss,5,dog,cannot_tell,6300
1,images/nke_eps1_65.png,ship,nke,1,ship,ship,6229
1,images/nke_eps12_91.png,frog,nke,12,frog,cannot_tell,2579
1,images/nke_eps12_50.png,bird,nke,12,bird,cannot_tell,1570
1,images/gauss_eps1_146.png,dog,gauss,1,dog,dog,1968
1,images/gauss_eps8_175.png,automobile,gauss,8,automobile,automobile,4588
1,images/nke_eps8_185.png,truck,nke,8,truck,cannot_tell,8994
1,images/nke_eps2.5_64.png,dog,nke,2.5,dog,dog,4515
1,images/nke_eps8_81.png,frog,nke,8,frog,cannot_tell,2437
1,images/gauss_eps16_106.png,ship,gauss,16,ship,cannot_tell,2589
1,images/nke_eps8_140.png,bird,nke,8,bird,cannot_tell,877
1,images/nke_eps0_48.png,airplane,clean,0,airplane,airplane,11595
1,images/nke_eps12_150.png,dog,nke,12,dog,cannot_tell,1924
1,images/nke_eps16_45.png,deer,nke,16,deer,cannot_tell,709
1,images/nke_eps0_5.png,deer,clean,0,deer,deer,8905
1,images/gauss_eps5_169.png,airplane,gauss,5,airplane,ship,6866
1,images/nke_eps0_63.png,automobile,clean,0,automobile,automobile,2790
1,images/gauss_eps16_111.png,horse,gauss,16,horse,cannot_tell,2777
1,images/nke_eps8_129.png,automobile,nke,8,automobile,cannot_tell,1348
1,images/gauss_eps2.5_42.png,automobile,gauss,2.5,automobile,automobile,2106
1,images/gauss_eps2.5_10.png,frog,gauss,2.5,frog,frog,5056
1,images/gauss_eps2.5_172.png,frog,gauss,2.5,frog,frog,1953
1,images/nke_eps5_124.png,horse,nke,5,horse,cannot_tell,2648
