participant_id,file,true_label,condition,eps_l,model_pred,response,rt_ms
2,images/gauss_eps12_50.png,bird,gauss,12,bird,dog,93756
2,images/nke_eps0_63.png,automobile,clean,0,automobile,automobile,12227
2,images/gauss_eps8_129.png,automobile,gauss,8,automobile,automobile,6073
2,images/gauss_eps5_130.png,airplane,gauss,5,airplane,truck,4274
2,images/gauss_eps5_193.png,truck,gauss,5,truck,truck,12302
2,images/nke_eps2.5_177.png,cat,nke,2.5,cat,cat,5022
2,images/gauss_eps2.5_172.png,frog,gauss,2.5,frog,frog,2028
2,images/gauss_eps2.5_64.png,dog,gauss,2.5,dog,dog,3127
2,images/nke_eps16_74.png,airplane,nke,16,airplane,cannot_tell,30169
2,images/gauss_eps2.5_128.png,deer,gauss,2.5,deer,horse,7218
2,images/nke_eps0_59.png,ship,clean,0,ship,ship,2329
2,images/gauss_eps16_143.png,horse,gauss,16,horse,bird,39943
2,images/nke_eps16_111.png,horse,nke,16,horse,cannot_tell,10321
2,images/gauss_eps1_32.png,bird,gauss,1,bird,ship,7077
2,images/nke_eps0_31.png,frog,clean,0,frog,cannot_tell,73752
2,images/nke_eps16_106.png,ship,nke,16,ship,cat,8407
2,images/nke_eps2.5_158.png,cat,nke,2.5,cat,cat,1573
2,images/nke_eps1_146.png,dog,nke,1,dog,dog,2351
2,images/nke_eps5_169.png,airplane,nke,5,airplane,dog,17326
2,images/nke_eps0_5.png,deer,clean,0,deer,deer,5053
2,images/gauss_eps8_81.png,frog,gauss,8,frog,dog,4558
2,images/nke_eps0_157.png,automobile,clean,0,automobile,automobile,5478
2,images/nke_eps1_62.png,automobile,nke,1,automobile,automobile,1230
2,images/nke_eps0_7.png,automobile,clean,0,automobile,automobile,4048
2,images/gauss_eps1_57.png,truck,gauss,1,truck,truck,2931
2,images/nke_eps8_8.png,automobile,nke,8,automobile,bird,26427
2,images/nke_eps8_140.png,bird,nke,8,bird,bird,5606
2,images/gauss_eps1_187.png,frog,gauss,1,frog,frog,7291
2,images/nke_eps0_197.png,deer,clean,0,deer,deer,2224
2,images/nke_eps1_65.png,ship,nke,1,ship,ship,2052
2,images/gauss_eps5_151.png,automobile,gauss,5,automobile,cannot_tell,6416
2,images/gauss_eps5_155.png,cat,gauss,5,cat,cat,3455
2,images/nke_eps12_165.png,airplane,nke,12,airplane,cannot_tell,5069
2,images/gauss_eps2.5_10.png,frog,gauss,2.5,frog,dog,23184
2,images/nke_eps5_92.png,dog,nke,5,dog,dog,2323
2,images/gauss_eps12_150.png,dog,gauss,12,dog,bird,5466
2,images/gauss_eps12_167.png,cat,gauss,12,cat,cannot_tell,8947
2,images/gauss_eps12_91.png,frog,gauss,12,frog,cannot_tell,1019
2,images/gauss_eps2.5_42.png,automobile,gauss,2.5,automobile,automobile,6470
2,images/nke_eps12_47.png,automobile,nke,12,automobile,deer,56469
2,images/gauss_eps8_185.png,truck,gauss,8,truck,dog,8732
2,images/nke_eps8_103.png,deer,nke,8,deer,bird,25479
2,images/nke_eps12_109.png,cat,nke,12,cat,cannot_tell,55976
2,images/gauss_eps12_44.png,automobile,gauss,12,automobile,deer,41537
2,images/nke_eps8_175.png,automobile,nke,8,automobile,automobile,7997
2,images/nke_eps0_48.png,airplane,clean,0,airplane,airplane,3072
2,images/gauss_eps2.5_148.png,automobile,gauss,2.5,automobile,truck,4289
2,images/nke_eps16_147.png,dog,nke,16,dog,cannot_tell,3708
2,images/gauss_eps1_195.png,cat,gauss,1,cat,cat,21675
2,images/nke_eps5_124.png,horse,nke,5,horse,horse,3837
2,images/gauss_eps16_56.png,ship,gauss,16,ship,truck,43396
2,images/gauss_eps16_45.png,deer,gauss,16,deer,cannot_tell,9582
