participant_id,file,true_label,condition,eps_l,model_pred,response,rt_ms
3,images/gauss_eps1_62.png,automobile,gauss,1,automobile,automobile,2674
3,images/nke_eps2.5_64.png,dog,nke,2.5,dog,dog,3491
3,images/nke_eps16_106.png,ship,nke,16,ship,cannot_tell,2631
3,images/nke_eps12_47.png,automobile,nke,12,automobile,cannot_tell,1472
3,images/gauss_eps1_56.png,ship,gauss,1,ship,ship,3452
3,images/gauss_eps5_193.png,truck,gauss,5,truck,truck,5954
3,images/nke_eps16_150.png,dog,nke,16,dog,cannot_tell,5348
3,images/nke_eps8_81.png,frog,nke,8,frog,dog,8237
3,images/nke_eps2.5_177.png,cat,nke,2.5,cat,cat,2176
3,images/nke_eps1_32.png,bird,nke,1,bird,bird,3929
3,images/nke_eps12_167.png,cat,nke,12,cat,frog,2688
3,images/nke_eps2.5_158.png,cat,nke,2.5,cat,cat,2071
3,images/nke_eps0_197.png,deer,clean,0,deer,deer,1635
3,images/nke_eps1_57.png,truck,nke,1,truck,truck,5687
3,images/nke_eps5_124.png,horse,nke,5,horse,horse,3664
3,images/nke_eps8_8.png,automobile,nke,8,automobile,automobile,3678
3,images/gauss_eps2.5_42.png,automobile,gauss,2.5,automobile,automobile,1175
3,images/gauss_eps8_103.png,deer,gauss,8,deer,frog,7401
3,images/nke_eps0_31.png,frog,clean,0,frog,frog,1412
3,images/gauss_eps1_195.png,cat,gauss,1,cat,dog,2675
3,images/nke_eps0_63.png,automobile,clean,0,automobile,automobile,2359
3,images/gauss_eps2.5_172.png,frog,gauss,2.5,frog,frog,2574
3,images/nke_eps12_91.png,frog,nke,12,frog,frog,1601
3,images/gauss_eps5_128.png,deer,gauss,5,deer,dog,7494
3,images/gauss_eps5_151.png,automobile,gauss,5,automobile,automobile,3780
3,images/nke_eps16_74.png,airplane,nke,16,airplane,cannot_tell,2151
3,images/gauss_eps1_146.png,dog,gauss,1,dog,cannot_tell,3663
3,images/gauss_eps12_109.png,cat,gauss,12,cat,cannot_tell,5417
3,images/gauss_eps8_140.png,bird,gauss,8,bird,frog,2632
3,images/nke_eps2.5_10.png,frog,nke,2.5,frog,dog,3494
3,images/gauss_eps16_45.png,deer,gauss,16,deer,cannot_tell,2235
3,images/nke_eps12_44.png,automobile,nke,12,automobile,cannot_tell,1162
3,images/nke_eps0_7.png,automobile,clean,0,automobile,automobile,2097
3,images/gauss_eps1_187.png,frog,gauss,1,frog,frog,5600
3,images/gauss_eps2.5_148.png,automobile,gauss,2.5,automobile,automobile,1688
3,images/nke_eps0_5.png,deer,clean,0,deer,deer,2756
3,images/nke_eps8_185.png,truck,nke,8,truck,truck,4795
3,images/gauss_eps8_175.png,automobile,gauss,8,automobile,automobile,1740
3,images/gauss_eps16_111.png,horse,gauss,16,horse,cannot_tell,7654
3,images/gauss_eps5_169.png,airplane,gauss,5,airplane,cannot_tell,3863
3,images/nke_eps16_143.png,horse,nke,16,horse,cannot_tell,1275
3,images/gauss_eps5_155.png,cat,gauss,5,cat,cannot_tell,1472
3,images/nke_eps12_165.png,airplane,nke,12,airplane,cannot_tell,5721
3,images/gauss_eps16_147.png,dog,gauss,16,dog,cannot_tell,1849
3,images/gauss_eps12_50.png,bird,gauss,12,bird,deer,8416
3,images/gauss_eps5_130.png,airplane,gauss,5,airplane,airplane,4781
3,images/nke_eps0_157.png,automobile,clean,0,automobile,automobile,4301
3,images/nke_eps0_48.png,airplane,clean,0,airplane,airplane,3834
3,images/nke_eps1_65.png,ship,nke,1,ship,ship,2476
3,images/gauss_eps8_129.png,automobile,gauss,8,automobile,automobile,2869
3,images/nke_eps5_92.png,dog,nke,5,dog,dog,1926
3,images/nke_eps0_59.png,ship,clean,0,ship,cannot_tell,6735
